city_id,year,average_clustering,global_clustering,degree_centrality_max,degree_centrality_mean,degree_centrality_median,betweenness_centrality_max,betweenness_centrality_mean,betweenness_centrality_median,closeness_centrality_max,closeness_centrality_mean,closeness_centrality_median,pagerank_max,pagerank_mean,pagerank_median,connectivity
广州市,2016,0.05754805977628296,0.11596091205211727,0.02068045363575717,0.0007347120302423838,0.000333555703802535,0.0007299036028469358,4.638606422973572e-06,0.0,0.031655577777174086,0.003129302759896176,0.000333555703802535,0.01020160489723204,0.0006666666666666646,0.0002866135722141989,0
广州市,2017,0.16217488770083674,0.32891731384193695,0.009644163618224143,0.0005740152410333335,0.00016627868307283005,0.0005096410290677559,3.83987336221523e-06,0.0,0.028934809280170885,0.003387453532525891,0.00016627868307283005,0.004069966953080479,0.00033244680851063894,0.00012539188303296284,0
广州市,2018,0.17339164860336262,0.40463355889436864,0.012066952121448033,0.0007109611303888173,0.00019462826002335538,0.0003072519338530696,2.6872652287913856e-06,0.0,0.035896838216408135,0.0029498464703163474,0.00019462826002335538,0.0041585911510456635,0.0003891050583657585,0.00014254261079644622,0
广州市,2019,0.15505420152468102,0.3134109770555827,0.010109179134654266,0.0006720928795747509,0.0002021835826930853,0.0007958115936908252,5.0808653453742385e-06,0.0,0.03568860981008903,0.0038100664924655453,0.0002021835826930853,0.0058686037202393395,0.0004042037186742123,0.00015654468092616308,0
广州市,2020,0.23630272205063804,0.4326411702721131,0.006009420172161767,0.00040643752733430843,8.120838070488874e-05,0.0004055933842028118,1.8669382190657536e-06,0.0,0.030810877846283734,0.002602218950270207,8.120838070488874e-05,0.0024028032488756282,0.0001623903864891174,5.501762526243381e-05,0
广州市,2021,0.27055208077744214,0.5285955858131108,0.0060393767363208116,0.0004554331925312458,6.0393767363208115e-05,0.00397678147824857,1.4342156652029904e-05,0.0,0.10209521204019385,0.007878483073416301,6.0393767363208115e-05,0.0011581617033913567,0.00012077294685990689,3.888762105462545e-05,0
广州市,2022,0.27705444522479894,0.5703360547824563,0.0060501296456352644,0.0004779739611200286,6.173601679219657e-05,0.0026499254945769103,9.458900691118754e-06,0.0,0.09321612220475274,0.0070883352830416356,6.173601679219657e-05,0.0010501895041894835,0.00012345679012345517,3.9818645331540623e-05,0
杭州市,2016,0.13522272383775666,0.24189902034664656,0.012588943623426382,0.0007814942169427948,0.0002736726874657909,0.001806899189533174,1.3138212127483937e-05,0.0,0.05559855166818781,0.005591708948162673,0.0002736726874657909,0.006695725855205607,0.0005470459518599562,0.000229170860168051,0
杭州市,2017,0.1597853544641964,0.31740493228458216,0.009618810117563235,0.0006041570879476116,0.00017812611328820805,0.0033606840923012357,1.8748613228201858e-05,0.0,0.07913793452318091,0.007550912997594117,0.00017812611328820805,0.004203899527517236,0.00035612535612535864,0.000139242676574044,0
杭州市,2018,0.16255762520941505,0.35480852289087245,0.009485589201021525,0.0006032606945720641,0.00018241517694272163,0.0020752278414381594,1.2619509270105103e-05,0.0,0.06515180085153616,0.005473862318268003,0.00018241517694272163,0.003395526207010474,0.00036469730123996953,0.0001467895258228833,0
杭州市,2019,0.17935372611126688,0.34470498222242224,0.007921332969134116,0.00047528892897533457,0.0001365747063643813,0.0019758230429640644,8.661107431747743e-06,0.0,0.058385964750705975,0.004656010918995605,0.0001365747063643813,0.004218213377782806,0.00027307482250136443,0.00010740384182569891,0
